GLOBALEVENTID,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,AvgTone,SOURCEURL
1115794862,SDN,SUDANESE,SDN,,TCD,CHAD,TCD,,1,51,51,5,0,https://www.bignewsnetwork.com/news/273903586/chad-based-uae-field-hospital-in-amdjarass-treats-1220-sudanese-refugees-since-opening
1115797079,REF,REFUGEE,,REF,SOM,SOMALIA,SOM,,1,42,42,4,-12.30769231,https://reliefweb.int/report/somalia/unhcr-somalia-refugees-and-asylum-seekers-30-june-2023
1115800853,,,,,MILMIL,ARMY,,MIL,1,190,190,19,-6.578947368,https://www.thenationalnews.com/uae/government/2023/07/19/uaes-field-hospital-in-chad-treats-1220-sudanese-refugees/
1115803414,,,,,BGD,BANGLADESHI,BGD,,1,173,173,17,-2.436998061,https://indianexpress.com/article/north-east-india/assam-police-arrest-tripura-man-over-trafficking-of-rohingya-refugees-8848107/
1115815284,,,,,MYS,MALAYSIAN,MYS,,1,60,60,6,-5.637982196,https://borneobulletin.com.bn/fake-documents-myanmar-refugees-one-man-op-busted/
1115817833,MDVREF,MALE,MDV,REF,,,,,1,120,120,12,-7.058823529,https://www.theargus.co.uk/news/23663981.northeye-bexhill-former-prison-house-1-000-refugees/
1115825406,IGOUNOWFP,WORLD FOOD PROGRAM,,IGO,,,,,1,60,60,6,-6.072874494,https://www.i24news.tv/en/news/middle-east-stories/1689758163-un-reduces-aid-to-syrian-refugees-in-jordan-citing-low-funding
1115828957,AFR,AFRICA,AFR,,TUN,TUNISIA,TUN,,1,84,84,8,-6.318082789,https://www.africa-newsroom.com/press/tunisia-no-safe-haven-for-black-african-migrants-refugees
1115832008,COP,DEPUTY,,COP,GOV,MINIST,,GOV,1,40,40,4,3.47826087,https://www.southeastradio.ie/calls-for-refugee-co-ordinator-in-enniscorthy/
1115837189,CAN,CANADA,CAN,,,,,,1,70,70,7,-1.436443608,https://www.thestar.com/opinion/letters_to_the_editors/2023/07/19/welcoming-refugees-we-cannot-accommodate-letters-to-the-editor.html
1115837208,CAN,TORONTO,CAN,,REF,REFUGEE,,REF,1,40,40,4,-2.993041417,https://www.winnipegfreepress.com/uncategorized/2023/07/19/refugee-shelter-crisis-first-item-at-chows-first-council-meeting-as-toronto-mayor
1115843743,IGOUNOREFHCR,UNHCR,,IGO,JORREF,JORDAN,JOR,REF,1,12,12,1,-6.451612903,https://famagusta-gazette.com/2023/07/19/unhcr-express-concern-for-refugees-in-jordan/
1115884635,CAN,CANADA,CAN,,,,,,1,20,20,2,-0.7509627728,https://www.chch.com/refugee-shelter-crisis-first-item-at-chows-first-council-meeting-as-toronto-mayor/
1115896801,,,,,UKR,ODESA,UKR,,1,130,130,13,-1.991886685,https://londonlovesbusiness.com/putin-trying-to-create-refugee-crisis-after-intentionally-blowing-up-60000-tons-of-grain-in-odesa/
1115899728,JOR,JORDANIAN,JOR,,REF,REFUGEE,,REF,1,130,130,13,-8.333333333,https://morningstaronline.co.uk/article/w/un-cut-aid-syrian-refugees-due-unprecedented-funding-crisis
1115899745,,,,,AFR,AFRICA,AFR,,1,42,42,4,-6.93481276,https://www.wkrg.com/state-regional/humanitarian-shares-the-turmoil-of-refugee-children-caused-by-the-ethiopian-civil-war/
1115902627,,,,,BUS,COMPANIES,,BUS,1,42,42,4,-4.761904762,https://techxplore.com/news/2023-07-registering-refugees-personal-poses-people.html
1115902972,CAN,CANADA,CAN,,,,,,1,73,73,7,-8.238763417,https://toronto.ctvnews.ca/chow-calls-for-250-more-shelter-beds-for-refugees-as-key-item-in-1st-council-meeting-as-toronto-mayor-1.6485462
1115911193,AFR,AFRICA,AFR,,NGOUSA,INTERNATIONAL RESCUE COMMITTEE,USA,NGO,1,84,84,8,-4.217926186,https://www.africa-newsroom.com/press/the-international-rescue-committee-irc-the-european-unions-migration-agreement-with-tunisia-risks-driving-migrants-and-refugees-onto-even-more-dangerous-routes
1115919238,,,,,REF,REFUGEE,,REF,1,35,35,3,-1.831262263,https://reliefweb.int/job/3981300/refugee-status-determination-program-refugee-legal-officer
1115924169,CAN,TORONTO,CAN,,REF,REFUGEE,,REF,1,51,51,5,-0.011765638,https://boom1019.com/news/9842371/refugee-shelter-crisis-olivia-chow-first-item-toronto/
1115933826,REF,ASYLUM SEEKER,,REF,CAN,TORONTO,CAN,,1,75,75,7,-0.6525285481,https://www.theepochtimes.com/ontario-premier-and-toronto-mayor-urge-feds-to-take-further-action-on-shelter-support-for-refugees_5409014.html
1115938046,,,,,REF,REFUGEE,,REF,1,73,73,7,-6.086956522,https://theconversation.com/healing-through-witnessing-documenting-the-stories-of-yazidi-refugees-in-canada-209294
1115941282,REF,REFUGEE,,REF,CVL,MIGRANT WORKER,,CVL,1,192,192,19,-1.785714286,https://article.wn.com/view/2023/07/19/Pushing_climate_refugees_into_migrant_worker_programs/
1115952944,JOR,AMMAN,JOR,,JORREF,JORDAN,JOR,REF,1,14,14,1,1.587301587,http://www.jordantimes.com/news/local/uae-red-crescent-johud-launch-refugee-empowerment-project
1115954545,CAN,CANADA,CAN,,CANREF,CANADA,CAN,REF,1,71,71,7,-4.6875,https://www.ipolitics.ca/news/ford-chow-announce-more-funding-for-toronto-refugee-claimants-call-on-feds-to-pitch-in
1115956344,LBN,LEBANON,LBN,,POL,POLAND,POL,,1,42,42,4,0.6451612903,https://www.northwichguardian.co.uk/news/national/23667575.organisation-sewing-reusable-sanitary-pads-refugees-gets-charity-status/
1116248888,CAN,CANADA,CAN,,UKRREF,UKRAINE,UKR,REF,1,73,73,7,-3.658536585,https://www.theglobeandmail.com/canada/article-quebec-police-looking-for-ukrainian-refugee-missing-after-going-for/
1116260294,CVL,SMALL TOWN,,CVL,SDN,SUDAN,SDN,,1,25,25,2,-4.816513761,https://venturesafrica.com/apostories/influx-of-sudanese-refugees-in-eastern-chad-children-threatened-by-malnutrition-and-measles/
1116262227,KEN,KENYA,KEN,,,,,,1,90,90,9,-4.909193684,https://www.voanews.com/a/end-to-russia-grain-deal-a-blow-to-kenyan-refugees-already-short-on-food-/7190069.html
1116266859,,,,,POL,POLAND,POL,,1,42,42,4,-3.193464978,https://www.rte.ie/news/2023/0721/1395706-ukraine-poland-refugee/
1116285416,,,,,REF,REFUGEE,,REF,1,42,42,4,-3.372434018,https://foreignpolicy.com/2023/07/20/ukraine-war-russia-refugees-eu-policy-europe-education-employment/?tpcc=recirc_trending062921
1116285824,EUR,EUROPEAN,EUR,,GOV,GOVERNMENT,,GOV,1,40,40,4,-1.492537313,https://www.romania-insider.com/romania-cohesion-funds-ukrainian-refugees
1116298856,EUR,EUROPEAN,EUR,,GOV,GOVERNMENT,,GOV,1,36,36,3,-3,https://actmedia.eu/daily/romania-to-receive-eu-funds-worth-eur-400-million-for-spending-with-ukrainian-refugees/104058
1116316907,CRM,PIRATE,,CRM,VNM,VIETNAM,VNM,,1,73,73,7,-1.706484642,https://www.sbs.com.au/news/article/born-on-a-refugee-boat-thu-fampidi-is-now-taking-swimming-lessons-to-overcome-her-fear-of-the-ocean/x55l3d1gx
1116316936,CVL,COMMUNITY,,CVL,EDU,SCHOOL,,EDU,1,51,51,5,5.396825397,https://www.civic.md/anunturi/angajare/72533-integration-officer-at-charity-centre-for-refugees.html
1116318084,REF,REFUGEE,,REF,UKR,UKRAINIAN,UKR,,1,20,20,2,3.740648379,https://www.civic.md/anunturi/angajare/72531-social-worker-at-charity-centre-for-refugees.html
1116318684,,,,,REF,REFUGEE,,REF,1,130,130,13,-12.85714286,https://www.monitor.co.ug/uganda/news/national/food-crisis-opm-warns-refugees-against-planned-protest--4311042
1116319224,GOV,MINIST,,GOV,IGOEUREEC,THE EUROPEAN UNION,EUR,IGO,1,13,13,1,-5.673758865,https://www.middleeastmonitor.com/20230721-fire-breaks-out-in-syrian-refugee-camp-in-lebanon/
